UserRoleID,RoleID,UserID,CreatedDatetime,UpdatedBy,UpdatedDatetime,CreatedBy,FacilityID,IsDeleted
101,101,101,2018-01-16 12:57:39.336317+05:30,101,2018-01-16 12:57:39.336317+05:30,101,,f
156,110,128,2018-01-18 10:42:16.652147+05:30,101,2018-01-18 10:42:16.652147+05:30,101,114,f
157,102,129,2018-01-18 10:45:48.562617+05:30,101,2018-01-18 10:45:48.562617+05:30,101,115,f
112,106,110,2018-01-16 14:29:51.406202+05:30,101,2018-01-16 14:29:51.406202+05:30,101,106,f
158,110,130,2018-01-18 10:45:48.562617+05:30,101,2018-01-18 10:45:48.562617+05:30,101,115,f
117,103,108,2018-01-16 17:26:17.982249+05:30,107,2018-01-16 17:26:17.982249+05:30,107,104,f
107,102,108,2018-01-16 14:18:57.348031+05:30,107,2018-01-16 17:26:17.982249+05:30,101,104,f
108,110,108,2018-01-16 14:18:57.348031+05:30,107,2018-01-16 17:26:17.982249+05:30,101,104,f
118,107,107,2018-01-16 17:27:19.679712+05:30,108,2018-01-16 17:27:19.679712+05:30,108,104,f
106,102,107,2018-01-16 14:18:57.348031+05:30,108,2018-01-16 17:27:19.679712+05:30,101,104,f
119,110,107,2018-01-16 17:27:19.679712+05:30,108,2018-01-16 17:27:19.679712+05:30,108,104,f
120,101,113,2018-01-16 17:40:04.977482+05:30,101,2018-01-16 17:40:04.977482+05:30,101,,f
121,105,114,2018-01-16 14:45:30.783268+05:30,109,2018-01-16 14:45:30.783268+05:30,109,105,f
122,102,114,2018-01-16 14:45:30.783268+05:30,109,2018-01-16 14:45:30.783268+05:30,109,105,f
123,110,114,2018-01-16 14:45:30.783268+05:30,109,2018-01-16 14:45:30.783268+05:30,109,105,t
124,106,115,2018-01-16 17:44:58.922996+05:30,110,2018-01-16 17:44:58.922996+05:30,110,106,f
126,110,115,2018-01-16 17:44:58.922996+05:30,110,2018-01-16 17:44:58.922996+05:30,110,106,t
133,102,119,2018-01-16 17:52:54.937738+05:30,101,2018-01-16 17:52:54.937738+05:30,101,109,f
134,106,119,2018-01-16 17:52:54.937738+05:30,101,2018-01-16 17:52:54.937738+05:30,101,109,f
110,105,109,2018-01-16 14:26:17.244832+05:30,114,2018-01-16 19:25:20.647243+05:30,101,105,f
109,102,109,2018-01-16 14:26:17.244832+05:30,114,2018-01-16 19:25:20.647243+05:30,101,105,f
135,110,109,2018-01-16 19:25:20.647243+05:30,114,2018-01-16 19:25:20.647243+05:30,114,105,f
159,102,126,2018-01-18 10:49:13.522974+05:30,101,2018-01-18 10:49:13.522974+05:30,101,116,f
160,106,126,2018-01-18 10:49:13.522974+05:30,101,2018-01-18 10:49:13.522974+05:30,101,116,f
175,106,135,2018-01-18 12:42:35.533725+05:30,101,2018-01-18 12:42:35.533725+05:30,101,120,f
136,110,110,2018-01-16 18:57:01.563446+05:30,115,2018-01-16 19:36:18.782367+05:30,115,106,f
138,106,120,2018-01-17 15:52:28.744421+05:30,101,2018-01-17 15:52:28.744421+05:30,101,110,f
