UserBusinessFunctionID,UserId,FacilityID,BussinessFunction,Status,CreatedBy,CreatedDatetime,UpdatedBy,UpdatedDatetime
106,103,102,1,t,101,2018-01-16 13:02:14.956572+05:30,101,2018-01-16 13:02:14.956572+05:30
107,103,102,2,t,101,2018-01-16 13:02:14.956572+05:30,101,2018-01-16 13:02:14.956572+05:30
108,103,102,3,t,101,2018-01-16 13:02:14.956572+05:30,101,2018-01-16 13:02:14.956572+05:30
109,103,102,4,t,101,2018-01-16 13:02:14.956572+05:30,101,2018-01-16 13:02:14.956572+05:30
110,103,102,5,t,101,2018-01-16 13:02:14.956572+05:30,101,2018-01-16 13:02:14.956572+05:30
111,104,102,1,t,101,2018-01-16 13:02:14.956572+05:30,101,2018-01-16 13:02:14.956572+05:30
112,104,102,2,t,101,2018-01-16 13:02:14.956572+05:30,101,2018-01-16 13:02:14.956572+05:30
113,104,102,3,t,101,2018-01-16 13:02:14.956572+05:30,101,2018-01-16 13:02:14.956572+05:30
114,104,102,4,t,101,2018-01-16 13:02:14.956572+05:30,101,2018-01-16 13:02:14.956572+05:30
115,104,102,5,t,101,2018-01-16 13:02:14.956572+05:30,101,2018-01-16 13:02:14.956572+05:30
116,105,103,1,t,101,2018-01-16 13:11:01.19977+05:30,101,2018-01-16 13:11:01.19977+05:30
117,105,103,2,t,101,2018-01-16 13:11:01.19977+05:30,101,2018-01-16 13:11:01.19977+05:30
118,105,103,3,t,101,2018-01-16 13:11:01.19977+05:30,101,2018-01-16 13:11:01.19977+05:30
119,105,103,4,t,101,2018-01-16 13:11:01.19977+05:30,101,2018-01-16 13:11:01.19977+05:30
120,105,103,5,t,101,2018-01-16 13:11:01.19977+05:30,101,2018-01-16 13:11:01.19977+05:30
121,106,103,1,t,101,2018-01-16 13:11:01.19977+05:30,101,2018-01-16 13:11:01.19977+05:30
122,106,103,2,t,101,2018-01-16 13:11:01.19977+05:30,101,2018-01-16 13:11:01.19977+05:30
123,106,103,3,t,101,2018-01-16 13:11:01.19977+05:30,101,2018-01-16 13:11:01.19977+05:30
124,106,103,4,t,101,2018-01-16 13:11:01.19977+05:30,101,2018-01-16 13:11:01.19977+05:30
125,106,103,5,t,101,2018-01-16 13:11:01.19977+05:30,101,2018-01-16 13:11:01.19977+05:30
135,108,104,5,t,101,2018-01-16 14:18:57.348031+05:30,107,2018-01-16 17:26:17.982249+05:30
132,108,104,2,t,101,2018-01-16 14:18:57.348031+05:30,107,2018-01-16 17:26:17.982249+05:30
134,108,104,4,t,101,2018-01-16 14:18:57.348031+05:30,107,2018-01-16 17:26:17.982249+05:30
131,108,104,1,t,101,2018-01-16 14:18:57.348031+05:30,107,2018-01-16 17:26:17.982249+05:30
133,108,104,3,t,101,2018-01-16 14:18:57.348031+05:30,107,2018-01-16 17:26:17.982249+05:30
130,107,104,5,t,101,2018-01-16 14:18:57.348031+05:30,108,2018-01-16 17:27:19.679712+05:30
127,107,104,2,t,101,2018-01-16 14:18:57.348031+05:30,108,2018-01-16 17:27:19.679712+05:30
129,107,104,4,t,101,2018-01-16 14:18:57.348031+05:30,108,2018-01-16 17:27:19.679712+05:30
126,107,104,1,t,101,2018-01-16 14:18:57.348031+05:30,108,2018-01-16 17:27:19.679712+05:30
